@relation 'C__Users_frans.DESKTOP-213GP7U_Desktop_p2-weka.filters.unsupervised.attribute.StringToWordVector-R1-W1000-prune-rate-1.0-C-T-I-N1-L-stemmerweka.core.stemmers.LovinsStemmer-stopwords-handlerweka.core.stopwords.WordsFromFile -stopwords /Users/xvenve/Gits/IAO-P2/Recursos/StopWordsEN.txt-M10-tokenizerweka.core.tokenizers.CharacterNGramTokenizer -max 3 -min 1-weka.filters.unsupervised.attribute.Remove-R2-15-weka.filters.unsupervised.attribute.Remove-V-R11,18,25,28,42,69,82,87,106,136,142,168,237,270,299,304,308,366,378,404,409,412,420,499,516,550,591,636,646,689,697-698,706,770,781,823,825,829,853,855,872,886,897,930,1042,1062,1081,1085,1119,1166,1172-1173,1175-1177,1179,1187,1201,1249,1_clustered-weka.filters.unsupervised.attribute.Remove-R1'

@attribute ' b' numeric
@attribute ' d' numeric
@attribute ' f' numeric
@attribute ' g' numeric
@attribute ' n' numeric
@attribute ' w' numeric
@attribute '\'' numeric
@attribute '\'t' numeric
@attribute '. ' numeric
@attribute 'a g' numeric
@attribute abl numeric
@attribute asy numeric
@attribute 'd n' numeric
@attribute e numeric
@attribute ea numeric
@attribute eat numeric
@attribute ed numeric
@attribute fa numeric
@attribute fo numeric
@attribute gif numeric
@attribute gr numeric
@attribute h numeric
@attribute har numeric
@attribute joy numeric
@attribute l numeric
@attribute lov numeric
@attribute n numeric
@attribute nn numeric
@attribute o numeric
@attribute ood numeric
@attribute ot numeric
@attribute 'ot ' numeric
@attribute ov numeric
@attribute re numeric
@attribute ric numeric
@attribute 's y' numeric
@attribute 's!\r' numeric
@attribute 's.\r' numeric
@attribute siz numeric
@attribute sl numeric
@attribute 'sy ' numeric
@attribute 't w' numeric
@attribute tab numeric
@attribute u numeric
@attribute ' ok' numeric
@attribute bac numeric
@attribute etu numeric
@attribute gn numeric
@attribute nsw numeric
@attribute urn numeric
@attribute '\nb' numeric
@attribute '\ng' numeric
@attribute '\nn' numeric
@attribute '\nth' numeric
@attribute '\nw' numeric
@attribute '\r\ng' numeric
@attribute cen numeric
@attribute ttl numeric
@attribute nth numeric
@attribute @@class@@ {excellent,fair,good,poor,verygood}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0.363179,0.736611,0.556502,0.584934,0,0,0,0,0.465199,1.205014,0,0,0,0.00278,0.610585,0.767229,0.752792,1.719225,0.5983,0,1.149531,0.088852,0,0,0.062001,0,0.04144,0,0.007862,0,0,0,0,0.366703,1.024079,0,0,0,2.043398,0,0,0,0.549079,0.130923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excellent,cluster2
0.734455,0,0.291103,0.775339,0,0.69555,0,0,0.576831,1.37581,1.073259,0,0,0.003833,0,0,0.859491,0,0.341551,0,0,0.119862,0,0,0.082154,0,0.050794,0,0.008976,1.160349,1.381287,0.692838,0,0.418679,0,0,0,0,0,0,0,0.824685,0.99362,0.115653,0,0,1.762079,0,0,1.62854,0,0,0,0,0,0,0,0,0,fair,cluster3
0,1.027965,0.506972,0.675147,0.626639,0.175077,0,0,0.567162,0,0.467284,0,0,0.002333,0.261439,0,0,0,0.471391,0,0,0.066007,0,0,0.079215,0,0.034302,0,0.009493,2.346085,0.428443,0,0,0.301536,0,0,0,0,0,2.343142,0,0,0.545893,0.141362,0,0,0,0,0,0,0,5.60132,0,0,0,3.823496,0,0,0,good,cluster3
0.48157,1.056736,0.483684,0,0.570498,0.505261,1.261498,1.577186,0.62018,0,0.674274,0,0,0.002907,0.238016,0,0.791049,0.981801,0,0,0,0.086025,0,0,0.068818,0,0.04108,1.285829,0.007934,0,0.390058,0.549256,0,0.35469,0,2.820905,0,0,0,0,0,0,0,0.183371,0,0,1.39691,0,0,1.291046,0,0,0,0,0,0,0,0,0,poor,cluster3
0,1.222037,0.53375,0,0,0,0,0,0.59712,0,0,0,0,0.002172,0,0,0,0,0,0,0,0,0,0,0.100422,0,0.022785,0,0.012344,2.127548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,verygood,cluster1
0,0,0,0,0,0.456112,0,0,0,0,0,0,0,0.002483,0.429727,0,0,0,0,0,0,0.066524,0,0,0.062124,2.090479,0.028191,0,0.006424,0,0,0,3.005174,0.426917,0,0,0,0,0,0,0,0,0,0.082767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excellent,cluster1
0.876344,0,0.347341,0.925126,0.858658,0.76047,0.817718,1.186913,0.388579,0,0,0,0,0.003197,0,0,0.812718,0,0.407535,0,0,0.090446,0,0,0.06535,1.742713,0.053156,0,0.009599,1.384515,0,0,1.710093,0,0,0,0,0,0,0,0,0.984005,0,0.137996,0,4.56452,0,0,0,0,0,0,0,0,0,0,0,0,3.685285,fair,cluster0
0.323765,0.921754,0.609184,0.731954,0.561894,0.24882,0.848119,0,0.575148,1.702632,0,0,0,0.002522,0.544322,1.084062,0,2.714694,0.619224,2.723972,1.501275,0.082083,0,0,0.055272,0,0.037908,0,0.007162,0,0,0,0,0.369128,0,0,0,0,0,0,0,0.643919,0,0.126756,0,0,0,0,0,0,6.046749,0,0,0,0,0,0,0,0,good,cluster2
0.414574,0,0.461297,0,0,0.504983,1.085996,1.576317,0,0,0,0,0,0.002368,0,0,0,0,0.541239,0,0,0.107897,0,0,0,0,0.050904,0,0.010668,0,0.779687,0,0,0,0,0,0,0,0,0,0,0,0,0.145238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,poor,cluster1
0,1.150012,1.004584,1.152343,0,0,1.182506,0,0.561926,2.373927,0,0,0,0.003333,0.821091,1.511473,0,4.273849,0.934079,3.79795,2.264623,0.101197,0,0,0.047252,0,0.049787,0,0.01087,0,0,0,0,0.597505,0,0,0,0,0,0,0,0,0,0.158145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,verygood,cluster2
0.562075,0,0,0,0,0,0,0,0,0,0.727413,0,0,0.003857,0,0,0.58253,0,0,0,0,0.111592,0,0,0.086191,1.979811,0.043543,0,0.00854,0,0.66695,0,1.942753,0.320413,0,0,0,0,0,0,0,0,0.849784,0.078385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excellent,cluster0
0.859981,0.7804,0,0,0,0.546634,1.604901,1.846089,0.481177,0,0,0,0,0.003238,0,0,0,0,0,0,0,0.088757,0,0,0.096195,0,0.052164,1.89917,0.008729,0,0,0,0,0,0,0,0,0,0,3.150765,0,0,0,0.157218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fair,cluster0
0.426814,0.327321,0.418878,0.519843,0.70684,0.313006,0.94487,0.488528,0.302728,0,0.263545,0,0,0.002082,0.442349,0.998897,0,1.216439,0.335479,0,1.289132,0.063256,1.278027,0,0.066629,0,0.033116,0,0.006252,0,0.724916,0,0,0.321705,0,0,0,0,0,0,0,0.405012,0,0.118423,0,0,0,0,0,0,0,0,0,0,3.666717,0,0,0,0,good,cluster3
0.388464,0.650564,0.22942,0.312829,0.366512,0.301837,0.553211,0.721275,0.244296,0,0,0,0.511675,0.001639,0.281272,0,0.346903,0.386743,0.319977,0,0,0.055938,1.025447,0,0.050095,0,0.02402,0.506503,0.004646,0,0.51041,0.216358,0.447562,0.154709,0.57871,0.701082,0,0,0,0.8403,0,0.408178,0,0.094073,1.062749,0,0,0,0,0,0,0,0,0,0,0,0,0.733916,1.929008,poor,cluster3
0.536375,0,0.528562,0.794808,0.737702,0,0.70253,0,0.333842,0,0,0,0,0.002917,0.615551,1.423249,0,1.269552,0.350127,0,1.971003,0.069798,0,0,0.093254,0,0.047139,0,0.009593,0,1.008758,0,0,0.507861,0,0,0,0,0,0,0,0,0,0.166416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,verygood,cluster2
0.755261,0,0.530222,1.216419,0,0.580434,0,0,0,0,0.977427,0,0,0.003821,0.546857,0,0.782747,0,0.622108,0,2.390547,0.124018,0,0,0.099758,0,0.045269,0,0.012957,0,0.896183,0,0,0.43054,0,0,0,0,0,0,0,1.502097,1.141856,0.210653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excellent,cluster2
0.595523,0,0.66264,1.204738,0,0.915344,0,0,0.741312,0,0,0,0,0.002696,0,0,0,0,0.777474,0,0,0.066751,0,0,0.062336,0,0,0,0.013205,0,0,0,0,0,0,0,0,0,0,6.125235,0,2.975346,0,0.263262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fair,cluster1
0.468275,0.730837,0.366598,0.488932,0.87277,0.252188,1.151924,0.623851,0.426669,0,0.673094,1.021339,0,0.001981,0.333513,0,0.564877,1.137841,0.379407,0,0,0.058016,0,0,0.051523,0.915984,0.028556,0,0.00601,0.727713,0.646739,0.910698,0.830793,0.211554,1.074239,0,0,0,0,1.55982,1.031818,0.517201,0.786326,0.082029,0,0,0.697233,0,0,1.021339,0,0,0,0,0,0,0,0,0,good,cluster3
0,0,0,1.099767,1.020751,0,0,0,0.291447,0,0,0,0,0.002976,0.425866,0,0,0,0,0,0,0,0,0,0.090192,0,0.035253,0,0.009549,1.645877,0.697904,0.982744,0,0.21154,0,0,0,0,0,3.816815,0,0,0,0.130004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,poor,cluster0
0.538473,0.865507,0.446656,0.55774,0.999623,0.239246,1.35449,0.591835,0.519302,0,0.741335,0.968924,0,0.002509,0.35726,0,0.593679,1.167859,0.406422,0,0,0.069788,0,0,0.062033,0.868976,0.034753,0,0.007684,0.690366,0.679714,0.957131,0.852711,0.229366,1.10258,0,0,0,0,1.600971,0.978866,0.490658,0.866047,0.079886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,verygood,cluster3
