@relation 'C__Users_frans.DESKTOP-213GP7U_Desktop_p2-weka.filters.unsupervised.attribute.StringToWordVector-R1-W1000-prune-rate-1.0-C-T-I-N1-L-stemmerweka.core.stemmers.LovinsStemmer-stopwords-handlerweka.core.stopwords.WordsFromFile -stopwords /Users/xvenve/Gits/IAO-P2/Recursos/StopWordsEN.txt-M10-tokenizerweka.core.tokenizers.CharacterNGramTokenizer -max 3 -min 1-weka.filters.unsupervised.attribute.Remove-R2-15-weka.filters.unsupervised.attribute.Remove-V-R11,18,25,28,42,69,82,87,106,136,142,168,237,270,299,304,308,366,378,404,409,412,420,499,516,550,591,636,646,689,697-698,706,770,781,823,825,829,853,855,872,886,897,930,1042,1062,1081,1085,1119,1166,1172-1173,1175-1177,1179,1187,1201,1249,1_clustered-weka.filters.unsupervised.attribute.Remove-R1'

@attribute ' b' numeric
@attribute ' d' numeric
@attribute ' f' numeric
@attribute ' g' numeric
@attribute ' n' numeric
@attribute ' w' numeric
@attribute '\'' numeric
@attribute '\'t' numeric
@attribute '. ' numeric
@attribute 'a g' numeric
@attribute abl numeric
@attribute asy numeric
@attribute 'd n' numeric
@attribute e numeric
@attribute ea numeric
@attribute eat numeric
@attribute ed numeric
@attribute fa numeric
@attribute fo numeric
@attribute gif numeric
@attribute gr numeric
@attribute h numeric
@attribute har numeric
@attribute joy numeric
@attribute l numeric
@attribute lov numeric
@attribute n numeric
@attribute nn numeric
@attribute o numeric
@attribute ood numeric
@attribute ot numeric
@attribute 'ot ' numeric
@attribute ov numeric
@attribute re numeric
@attribute ric numeric
@attribute 's y' numeric
@attribute 's!\r' numeric
@attribute 's.\r' numeric
@attribute siz numeric
@attribute sl numeric
@attribute 'sy ' numeric
@attribute 't w' numeric
@attribute tab numeric
@attribute u numeric
@attribute ' ok' numeric
@attribute bac numeric
@attribute etu numeric
@attribute gn numeric
@attribute nsw numeric
@attribute urn numeric
@attribute '\nb' numeric
@attribute '\ng' numeric
@attribute '\nn' numeric
@attribute '\nth' numeric
@attribute '\nw' numeric
@attribute '\r\ng' numeric
@attribute cen numeric
@attribute ttl numeric
@attribute nth numeric
@attribute @@class@@ {excellent,fair,good,poor,verygood}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0.456681,0.581713,0.320607,0.461931,0.628096,0.629105,0.948044,1.376081,0.179336,0,0.468371,0,0,0.003261,0,0,0.375082,0,0.298106,0,0,0.097446,0,0,0.047803,0,0.049729,1.415648,0.007457,0,0,0,0,0.302237,0,0,0,0,0,0,0,0,0.547163,0.141691,0,2.1066,0,0,0,0,0,0,0,0,0,0,0,0,0,poor,cluster3
0,1.37965,0.602591,1.382447,0,0,0,0,0.674133,0,1.110836,0,0,0.003592,0,0,0.889584,0,0.707019,4.556337,0,0.121404,0,0,0.113374,3.023376,0.025724,0,0.009291,0,0,0,2.966785,0,0,0,0,0,0,0,0,0,1.297707,0.119703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,verygood,cluster1
0.325184,0,0.361833,0,0,0.580274,0,0,0,0,0,0,0,0.003086,0.373185,0,0,0,0.424538,0,0,0.072898,0,0,0.087988,0,0.035865,0,0.007831,0,1.223143,0.861177,0,0.479181,0,0,0,2.036633,0,0,0,1.025059,0,0.113922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excellent,cluster1
0.530498,0.98994,0.295143,0.536596,1.068873,0.473323,0,0,0.330184,0,0,0,0,0.003031,0,0,0.43571,0,0.346291,0,0,0.083466,0,0,0.027765,0,0.049224,1.644468,0.008663,0,0.498853,0,0,0.151206,0,0,0,0,0,0,0,0,0,0.175888,0,0,0,0,0,0,0,0,0,0,0,0,3.001325,0,0,fair,cluster0
0.487395,0.783407,0.357984,0.570833,0,0.460905,0.758796,1.101387,0.362565,0,0.255892,1.230832,0,0.002347,0.495279,0.662052,0.708921,0,0.378169,0,0.91685,0.071724,0,0,0.065872,0,0.031747,0,0.005877,0,0.606488,0.523639,0,0.307357,0.883691,0,0,0,0,0,1.243462,0.786501,0.298939,0.110299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.472798,good,cluster3
0.598545,0.762417,0,0.605426,0.823208,0.229997,0,0,0.372537,0,0.972954,0,0,0.003494,0.343449,0,0,0,0,0,0,0.100635,0,2.760996,0.108371,0,0.036746,0,0.010268,0,0.562841,0,0,0.396125,0,0,0,0,0,0,0,0,1.136631,0.153595,3.893029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,poor,cluster0
0,1.122641,0,0.562459,0,0.786358,0,0,0.346098,0,0,2.743128,0,0.004355,1.307271,1.4755,0.723868,0,0,0,2.210725,0.114689,0,0,0.07311,0,0.020932,0,0.00378,0,0,0,0,0.398154,1.969462,0,0,0,0,0,2.771275,1.389107,0,0.097404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,verygood,cluster2
0,0,0.539284,0.669271,1.333156,0.590354,0.866632,0,0.411823,1.739798,0,0,2.072013,0.002996,0,0,0,0,0.431913,2.783433,0,0.123185,0,0,0.089516,1.846958,0.052202,0,0.009817,0,0,0,1.812387,0.298912,0,0,0,0,0,0,0,0,0,0.073125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.905729,excellent,cluster1
0,0,0.803263,0,0,0.789856,0,0,0,0,0,0,0,0.002529,0,0,1.152407,0,0.577871,0,0,0.049614,0,0,0.046332,0,0.021025,0,0.009815,0,0,0,0,0.252325,0,0,0,0,0,0,0,0,0,0.195674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fair,cluster1
0.447696,0.769729,0.301807,0.645334,0.521496,0.230931,0.339004,0,0.406557,0,0.530902,0,0,0.002258,0.565454,1.37357,0,0,0.392297,0,1.674295,0.045982,0,0,0.060409,0,0.029863,0,0.005783,1.147965,0,0,1.038605,0.342589,0.916704,0,0,0,0,1.331074,0,0,0.620214,0.111756,0,1.892326,0,0,0,0,0,0,0,0,0,0,2.320901,1.842609,0,good,cluster2
0.401985,0.864703,0.173035,0.775465,0.626655,0.413443,0.645656,0.591286,0.405723,0,0.50557,0,0,0.002425,0,0,0.660319,0,0.203022,0,0,0.075334,0,0,0.069147,0,0.034303,0,0.007282,0.689725,0,0,0,0.205836,0,2.11511,0,0,0,0,0,0.490203,0.59062,0.146014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,poor,cluster3
0.558431,0.974808,0.352147,0.712762,0.594235,0.263142,0,0,0.509002,0,0.44312,0,0,0.002966,0.695998,1.67953,0,0,0.447015,0,2.167527,0.056224,0,0,0.071681,0,0.036787,0,0.007412,0.958155,0,0,1.183472,0.426026,0.965489,0,0,0,0,0,0,0,0.517665,0.123433,0,1.993031,0,0,0,0,0,0,0,0,0,0,2.444414,1.940669,0,verygood,cluster2
0.253312,0.596474,0.290035,0.407982,0,0.368479,0,0,0.352385,0,0.327825,0,0,0.002492,0.290704,0,0.525061,1.199133,0,0,0.80178,0.06629,1.003019,1.474467,0.071065,0.892247,0.027215,0,0.006286,0,0,0,0.875546,0.315179,0,0,0,0,2.25895,0,0,0,0.382974,0.126643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excellent,cluster3
0.512976,0.653421,0.46546,0,0,0.45769,0,0,0.402885,0,0.526107,0,0,0.003402,0.466533,0,0.978272,0,0.334854,0,0,0.11232,0,0,0.080543,1.431911,0.036549,0,0.009174,0,0.764549,0,1.405109,0.339494,0,0,0,0,0,0,0,0.808514,0.614612,0.196125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fair,cluster3
0.307256,0.493863,0.343767,0.535396,0.849822,0.322371,0.896049,0.797465,0.424804,0,0.542859,0,0,0.002285,0.63325,0,0.751968,0,0.54763,0,0,0.068006,0,0,0.067967,0,0.031707,0,0.00627,0,0.698662,0.983812,0,0.075434,0,0,0,0,0,0,0,0,0.634183,0.116996,0,0,0,0,0,1.305571,0,3.253621,0,0,0,2.220942,0,0,0,good,cluster3
0.263771,0.984425,0,0,1.062919,0.642587,0,0,0.207162,0,0.857537,0,0,0.002944,0,0,0.433282,0,0,0,0,0.088697,0,0,0.077511,0,0.043344,0,0.007827,0,0.786258,1.107159,0,0,0,0,0,0,0,0,0,0.831472,1.001797,0.135374,0,0,0,0,0,1.641942,0,0,0,0,0,0,0,0,0,poor,cluster0
0.346596,0.557096,0.356462,0.648079,1.065431,0.390219,0.907925,0.831469,0.544423,0,0.44855,0,0,0.003095,0.795516,0,0.928543,0,0.570981,0,0,0.087871,0,0,0.08715,0,0.040581,0,0.008365,0,0.822532,1.158238,0,0,0,0,0,0,0,0,0,0,0.524008,0.145006,0,0,0,0,0,1.36124,0,0,0,0,0,0,0,0,0,verygood,cluster3
0.539597,0.779059,0.34027,0.688722,0,0.414691,1.269668,0.793701,0.460252,1.097755,0,1.299408,0,0.002926,0.479116,0,0,0,0.431938,0,0,0.091412,0,0,0.056482,1.16537,0.037751,0,0.007739,0.925839,0.392585,0.552813,1.143556,0.276299,0,0,0,1.307372,0,0,1.312741,0.658014,0,0.11927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excellent,cluster3
0.592079,0,0,0,1.027551,0.455025,0,0,0,0,0,0,0,0.003382,0,0,0.613626,0,0,0,0,0.097223,0,0,0.061975,0,0.058944,0,0.010157,0,0.702553,0.989291,2.046459,0.425899,0,0,0,0,0,0,0,1.177553,0,0.08257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fair,cluster0
0.459626,0.61103,0.459756,0.816419,0,0.353232,0,0,0.203802,0,0,0,0,0.002691,0,0,0,0,0.338777,0,0,0.080605,1.628542,0,0.066954,0,0.032429,0,0.007316,0,0,0,0,0.29585,0,0,0,0,0,0,0,0,0,0.137781,0,0,0,0,0,0,0,0,0,0,0,0,0,1.470764,0,good,cluster2
0.49086,0,0.546181,0.993005,1.350207,0.597905,0,0,0,0,0,0,0,0.002222,0,0,0,0,0.640833,0,0,0.055019,0,0,0.05138,0,0.036955,0,0.012631,2.177098,0.923158,1.299933,0,0,0,0,0,0,0,0,0,0,0,0.216994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,poor,cluster1
0.558535,0.711453,0.588169,1.000675,0,0.340169,0,0,0,0,0,0,0,0.003657,0,0,0,0,0.364593,0,0,0.099227,1.752643,0,0.075564,0,0.039796,0,0.00912,0,0,0,0,0.369646,0,0,0,0,0,0,0,0,0,0.159564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,verygood,cluster1
0.298,0.759174,0,0,0.819707,0.362986,0,0,0.234045,0,0,1.85501,0,0.003405,0.683977,0,0.979015,0,0,0,0,0.093772,0,0,0.072428,0,0.047022,0,0.007176,0,0,0,1.63252,0.339752,0,0,0,0,0,0,1.874044,0,0,0.170267,0,0,2.007119,0,0,1.85501,0,0,0,0,0,0,0,0,0,excellent,cluster0
0.507682,0.947364,0.413781,1.027036,1.022902,0.618395,0.664949,0.965169,0.199363,1.33491,0.520676,0,0,0.003233,0.291311,0,0.833941,0,0.525253,2.135669,0,0.085358,0,0,0.079712,0,0.043225,0,0.00871,1.784436,0.756657,1.065477,0,0.374052,1.134471,0,0,0,0,0,0,0.800169,0.608268,0.168323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fair,cluster3
0.481595,0,0.291221,0.419592,0.570526,0,0.543325,0.788633,0.325796,0,0.850882,2.046362,0,0.002785,0.66823,1.100717,0,0,0.270782,0,1.52434,0.046497,0,0,0.056121,0,0.029556,0,0.006155,1.45805,0,0,0,0.33193,1.853937,0,0,0,0,0,2.067359,0,0.994023,0.152294,0,0,0,0,0,0,0,5.09975,0,0,0,3.481121,2.346888,0,0,good,cluster2
0,0,0.363346,0,0,0.648711,0,0,0.406484,0,0,0,0,0.003344,0,0,0,0,0,0,0,0.073203,0,0,0.088356,0,0.043544,0,0.007241,0,0,0,1.78889,0.432221,0,0,0,0,0,0,0,1.029345,0,0.114399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,poor,cluster1
0,0,0,0.547922,0,0,0,0,0,0,0.880543,2.672235,0,0.003442,0.985303,1.437367,0,0,0,0,2.153591,0,0,0,0.07122,0,0,0,0.007365,1.90399,0,0,0,0.387864,1.918563,0,0,0,0,0,2.699654,0,1.028673,0.150392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,verygood,cluster2
0,0,0,1.012793,0,0,0,0,0,0,1.026911,0,0,0.00429,0,0,0,0,0,0,0,0.112232,0,0,0.083059,0,0.047561,0,0.008589,0,0,0,0,0.285393,0,0,0,0,0,0,0,0,1.199665,0.110659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excellent,cluster1
0.207856,0.66819,0.231282,0.420492,0.57175,0.370909,0,0,0.458294,1.093085,0.675754,0,1.30181,0.002941,0.238539,0,0,0,0.271363,0,1.042756,0.073854,0,0,0.075268,0,0.04585,2.577302,0.008175,0,0.390915,0.550462,0,0.332642,0,0,0,0,0,0,0,0,0.789434,0.170011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fair,cluster3
0.36998,0.53417,0.269167,0.289547,0.590553,0.317966,0.732407,0.763895,0.301123,0.596491,0.412096,0,0.710391,0.00148,0.320864,0.379785,0.330016,0.338772,0.373716,0,0.525949,0.050711,0,0,0.046515,0,0.022729,0,0.004078,0,0.426641,0.440055,0.574337,0.209251,0.742635,0,0,0.448207,0,0,0,0.633304,0.398177,0.093436,0,0,0.76396,0,0,0.706064,0,0,0,0,0,0,0,0,0,good,cluster3
0.588847,0,0.341912,0.621626,0.845236,0.629785,0,0,0.329472,1.103052,0,0,0,0.00294,0.240714,0,0.800014,0,0.547675,0,0,0.096099,0,0,0.085778,0,0.040724,1.300401,0.008139,1.4745,0.788958,1.110961,0,0.189514,0,0,0,0,0,0,0,1.047959,0,0.166207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,poor,cluster3
0.446385,0.636709,0.319241,0.317253,0.687478,0.395497,0.841258,0.814054,0.369282,0.562953,0.439155,0,0.670449,0.001899,0.368552,0.358431,0.351686,0,0.419267,0,0.537032,0.063419,0,0,0.058373,0,0.028698,0,0.005128,0,0.467465,0.449328,0.58644,0.249432,0.758285,0,0,0,0,0,0,0.674887,0.406568,0.116104,0,0,0.721006,0,0,0.666364,0,0,0,0,0,0,0,0,0,verygood,cluster3
0,1.3678,0.597416,0,0,0.446418,0,0,0.456215,0,0.751751,2.281382,0,0.003622,0.976589,0,0,0,0.758358,0,0,0.04108,0,0,0.089075,0,0.040421,0,0.008825,0,0,0,0,0.331133,0,0,0,0,0,0,2.304791,0,0.878215,0.188095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excellent,cluster1
0.915001,1.077278,0.405287,0,0,0,0,0,0.526387,0,0.592078,0,0,0.003221,0.525034,0,0.751511,0,0.376843,0,0,0.064709,0,0,0.060429,0,0.043462,0,0.01012,0,0,0,0,0.2608,0,0,0,1.807827,0,0,0,0,1.096289,0.127604,0,0,0,5.485438,0,0,0,0,0,0,0,0,0,0,0,fair,cluster3
0.444906,0.43847,0.447124,0,0.946863,0.307128,0,0,0.270351,0,0.706075,1.698102,0,0.002501,0.626122,0.913392,0,2.58271,0.449399,0,1.264921,0.064086,0,0,0.064586,0,0.036457,0,0.005107,0,0.647386,0.911608,0,0.227813,0,0,0,0,0,0,1.715526,0,0.824855,0.1068,0,0,0,0,0,0,0,2.888688,0,0,0,2.888688,1.947484,0,0,good,cluster3
0.426024,0.41986,0.384353,0.590543,0.802972,0.379976,0,0,0.334593,0,0.338054,0,0,0.002452,0,0,0.760012,0,0.430325,0,0,0.070333,0,1.520471,0.067399,0,0.036797,0,0.007419,0,0.929864,1.013425,0,0.242857,0,0,0,0,0,0,0,0,0.394923,0.130594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.945688,poor,cluster3
0.299986,0,0.591234,0,1.208855,0.365407,0,0,0.235605,0,0.61533,1.867378,0,0.003171,0.799367,1.004443,0,3.297332,0.391642,0,1.504946,0.078075,0,0,0.072911,0,0.047335,0,0.005975,0,0.564183,0.794448,0,0.271042,0,0,0,0,0,0,1.886538,0,0.718845,0.105095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,verygood,cluster2
0,2.178799,0,0,1.605849,0.44866,1.529285,0,0.458506,0,1.897961,0,0,0.005003,1.061883,0,0.958971,0,0,0,0,0.103715,0,0,0.14189,0,0.055461,0,0.012945,0,0,0,0,0.527469,0,0,0,0,0,0,0,0,2.217248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excellent,cluster0
0.680896,1.094428,0.326296,0.374289,0.806631,0.357196,1.217524,0,0.365035,0,0,0,0,0.003189,0.673066,0.981874,0.481699,0,0.382842,0,1.47113,0.065739,0,0,0,0,0.039104,0,0.007546,0,0,0,0,0.388148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fair,cluster2
0.517588,0.609384,0.49542,0.330316,0.898273,0.198889,0,0,0.331492,0.85867,0.530837,0,0,0.002696,0.593992,1.093426,0.425107,0,0.675728,0,1.200009,0.069682,0,0,0.082164,0,0.037285,1.012296,0.006583,0,0,0,1.310412,0.380457,1.156609,0,0,1.620834,0,0,1.026832,0,0.620137,0.108272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,good,cluster2
0.705428,0.488327,0,0,1.224268,0.542136,0,0,0.554034,0,0,0,3.015831,0.003471,0.348658,0,0.499054,0,0,0,0,0.095601,1.906676,0,0.031801,0,0.040513,0,0.009922,0,1.142754,1.275224,0,0.402132,0,0,0,0,0,0,0,0.957688,0,0.155924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,poor,cluster0
0.510699,0,0.635044,0,1.298432,0,0,0,0.401096,0,0.660926,0,0,0.003838,0.586086,1.078873,0.529286,0,0.841325,0,0,0.057243,0,0,0.112041,0,0.050843,0,0.008761,0,0,0,1.76518,0.515656,1.440053,0,0,2.018044,0,0,0,0,0.772111,0.112882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,verygood,cluster2
0.378316,0,0.433162,0.609313,0,0,0,0,0,1.255239,0.775999,0,0,0.003278,0.54785,0.799207,0.392084,0,0.311619,0,2.120964,0.092555,0,0,0.086433,1.332553,0.044295,0,0.007083,0,0,0,1.30761,0.4082,0,0,0,0,0,0,0,0,0.906542,0.105518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excellent,cluster2
0.380774,0.612031,0,0,1.047393,0.877897,0,0,0,0,0,0,2.384794,0.003613,0,0,0,0,0,0,0,0.0991,0,0,0.079714,0,0.041996,0,0.011709,0,1.662778,1.008394,0,0.217062,0,0,0,0,0,0,0,0,0,0.195423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fair,cluster0
0.566968,0.481463,0.490966,0.382324,0.519853,0,0,0,0.296859,0,1.162961,0,0,0.002791,0.503596,0,0.620885,2.077297,0.246732,0,0,0.075942,0,0,0.094063,0,0.037433,0,0.006886,0.83822,0.355432,0.500497,0,0.398664,0,0,0,0,0,1.943845,0,0,1.051525,0.144512,0,0,0,0,0,0,0,0,0,2.943544,0,0,0,0,0,good,cluster3
0,1.192692,0,0,1.287792,0.570266,0,0,0.367694,0,0,0,0,0.003754,0,0,0.769036,0,0,0,0,0.052476,0,0,0.077672,0,0.057484,2.902517,0.009325,0,0.880484,1.239842,0,0,0,0,0,0,0,0,0,1.475784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,poor,cluster0
0.978959,0,1.006826,0,0,0,0,0,0.485097,0,2.008033,0,0,0.004953,1.123467,0,0,4.634221,0,0,0,0.10973,0,0,0.150119,0,0.0465,0,0.008397,0,0,0,0,0.704193,0,0,0,0,0,0,0,0,1.480058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,verygood,cluster1
0,1.052792,0.555962,0.836009,0,0.503375,0,0,0.443099,0,0.57862,0,0,0.003539,0.5131,1.497028,0.463373,0,0.583706,0,2.073176,0.100229,0,0,0.068561,1.574838,0.042475,0,0.008675,0,0,0,1.545361,0.482419,0,0,0,0,0,0,0,0.889216,0.675959,0.124703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excellent,cluster2
0,0,0.474306,0,0,0.519223,1.116622,1.62077,0,0,0,0,0,0.002435,0,0,0,0,0.556503,0,0,0.075728,0,0,0.070719,0,0.047013,0,0.00849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149334,0,0,0,5.110922,0,0,0,0,0,0,0,0,0,0,0,fair,cluster1
0.806774,0,0.54499,0.76842,0,0.231339,0,0,0.149162,1.583012,0.389566,0,0,0.00255,0,0,0,0,0.696081,1.597891,0,0.08317,0,0,0.068773,0,0.018043,0,0.008071,1.68471,0.566125,0,0,0.171597,0,0,0,0,0,0,0,0,0.455101,0.139452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,good,cluster3
0,0,0,1.293125,0.992684,0.643981,0,0,0.449232,1.897837,0,0,2.260229,0.003092,0,0,0.939574,0,0,3.036272,0,0.093924,0,0,0.037775,0,0.059301,0,0.009287,0,1.575926,1.911446,0,0.205724,0,0,0,0,0,0,0,1.137597,0,0.206197,0,0,2.430668,0,0,4.492921,0,0,0,0,0,0,0,0,0,poor,cluster0
0.983752,0,0.534532,0.663374,0,0,0,0,0,0,0,0,0,0.003112,0,0,0,0,0.428107,0,0,0.095012,0,0,0.079699,0,0,0,0.009344,1.454403,0.616713,0,0,0.186931,0,0,0,0,0,0,0,0,0,0.168296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,verygood,cluster1
0.622322,0,0.503801,0.614778,1.010684,0,0,0,0.563615,0,0.851002,1.291293,0,0.003132,0.615381,0,0,0.981989,0.429241,0,0,0.098771,0,0,0.068831,1.158092,0.039414,0,0.008158,0,0.618346,0.870717,1.136415,0.374852,0,0,0,0,0,0,1.304542,0,0.994163,0.128722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excellent,cluster3
0,0,0.531895,0,1.31489,0,0,0,0,0,0,2.975617,0,0.004328,1.27377,0,0,0,0.624071,0,0,0.084923,0,0,0.116181,0,0.045412,0,0.011511,0,0.899011,1.265931,0,0.431898,0,0,0,0,0,0,3.006149,0,0,0.167466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fair,cluster1
0.251217,0.333969,0.305188,0.485181,0.492294,0.352747,0,0,0.298546,0,0.426193,0,0,0.001803,0.238449,0.695703,0.341306,0.671402,0.370329,0,0.897843,0.061886,0,0,0.047653,0,0.024684,0,0.004853,0.921554,0.266741,0,0.718164,0.208507,0.633873,1.535818,0,0,0,0,0,0,0.49789,0.105969,0,0,0,0,0,0.557034,0,0,0,0,2.553764,0,0,0,0,good,cluster3
0.434123,0,0.539823,0,1.10374,0.754631,0,0,0.430237,0,1.123649,0,1.715451,0.003489,0.314333,0,0.449923,0,0,0,0,0.079361,0,0,0.095241,0,0.048144,1.698111,0.009797,0,1.03025,0.725367,0,0.312277,0,0,0,0,0,0,0,0.863404,1.312676,0.121083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,poor,cluster3
0.223147,0.358672,0.386157,0.569634,0.567342,0.451186,0,0,0.367321,0,0.288788,0,0,0.002375,0.256087,0.747162,0.366551,0.666476,0.426784,0,1.034716,0.079605,0,0,0.057576,0,0.030662,0,0.006244,0.989718,0.264783,0,0.771285,0.240774,0.629222,1.208177,0,0,0,0,0,0,0.337369,0.132193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,verygood,cluster3
0.374673,0.602225,0.318025,0.578197,0.650243,0.496043,0.422698,0,0.294263,0,0.661972,0,0,0.002546,0.293507,0.54029,0.265062,0,0.333895,0,0.80951,0.082927,0,0,0.070432,0,0.035142,0,0.0071,0,0.303474,0.427333,0.883987,0.258236,0,3.215218,0,0,0,0,0,0,0.773333,0.139346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excellent,cluster3
0.322128,0.820642,0.358433,0.651662,0,0.247562,0.843829,1.224814,0.252995,0,0,0,0,0.003595,0,0,0.529141,0,0.420548,0,0,0.101364,0,0,0.053443,1.798361,0.042955,0,0.009179,0,0.605824,0.853084,1.7647,0,0,0,0,0,0,0,0,1.015426,0,0.184053,0,0,0,0,0,2.005204,0,0,0,0,0,0,0,0,0,fair,cluster3
0.559924,1.340886,0.268324,0.795627,1.174902,0.430313,1.001212,0,0.568179,0,0,2.379195,0,0.003158,0.830228,0.807429,0,0,0.314824,0,1.209761,0.06987,0,0,0.025242,0,0.038051,0,0.009224,1.695196,0,0,0,0.385917,0,0,0,2.393777,0,0,2.403607,0,0,0.19724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,good,cluster2
0.487863,1.148773,0,0,0.846685,0.374933,0.806316,0,0,0,0,0,1.927805,0.003042,0,0,0.505618,0,0,0,0,0.089185,0,0,0.064439,0,0.052415,1.908319,0.010561,0,1.157784,1.291997,0,0.175467,0,0,0,0,0,0,0,0.970284,0,0.175871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,poor,cluster0
0,1.619274,0,0.877726,1.193461,0.528494,1.136558,0,0.540092,0,0,0,0,0.004117,0,0,0,0,0,0,0,0.07708,0,0,0,0,0.041218,0,0.010448,1.924357,0,0,0,0,0,0,0,2.717373,0,0,0,0,0,0.26923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,verygood,cluster0
0,0,0.673845,1.225108,0,0.930821,0,0,0,0,1.242187,0,0,0.004016,0.694986,2.027703,0,0,0.790621,5.095103,3.038084,0.06788,0,0,0.06339,0,0.057531,0,0.012062,0,0,0,0,0.547162,0,0,0,0,0,0,0,0,1.451155,0.133857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excellent,cluster2
0.428713,0,0.47703,0,1.179259,0.765016,0,0,0,0,0,0,0,0.002843,0,0,1.116166,0,0.559698,0,0,0.111577,2.690539,0,0,0,0.05264,0,0.005829,0,0,0,0,0,0,0,0,0,0,0,0,1.351407,0,0.220027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fair,cluster1
0.483807,0,0.31784,0.577861,0.443603,0.196438,0.422452,0.613187,0.294092,0,0.524296,0,0,0.002324,0.370149,0,0.264908,0,0.210542,0,0,0.070622,0,2.358137,0.067523,0,0.038301,0,0.00665,0,0.303298,0,0,0.258086,0,0,0,0,0,1.658729,0,0,0.612496,0.118414,0,0,0,0,0,1.00388,0,0,0,0,0,0,0,0,0,good,cluster3
0.527,1.088562,0.369974,0.730515,0,0.15668,0.534051,0,0.449508,0,0.41818,0,0,0.00267,0.370827,0,0,0,0.421855,0,1.022765,0.072438,0,0,0.090651,0,0.0444,0,0.008664,0.904226,0,0,0,0,0,0,0,0,0,0,0,0.642653,0.488529,0.166752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,poor,cluster3
0.741085,0,0.52027,0.945896,0,0,0,0,0,0,0.959082,0,0,0.003749,0.536593,0,0,0,0,0,0,0.052409,0,4.313683,0.077573,0,0.057411,0,0.009313,0,0,0,0,0.533084,0,0,0,0,0,0,0,0,1.120425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,verygood,cluster1
0.690823,0,0.484984,1.112636,1.756389,0,0,0,0.684639,0,0,0,0,0.004136,1.0004,1.459392,0,0,0,0,2.18659,0.09771,0,0,0.117935,0,0.032814,0,0.008681,1.933164,0.819722,1.154282,0,0.745394,0,0,0,0,3.886866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excellent,cluster2
1.030453,0.935096,0.257686,0,0,0.654991,0,0,0.456913,0,0,0,0,0.002097,0.421237,0,0,0,0,0,0,0.082285,0,0,0.076842,0,0.027634,0,0.008139,0,0,0,0,0,0,0,0,0,0,3.77533,0,1.833875,0,0.162264,4.774759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fair,cluster0
